SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM,OBJECTID
0542    2504,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,903,217,144,2023/10/10 05:16:33+00,21263462
0542    2505,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,903,217,144,2023/10/10 05:16:33+00,21263463
0542    2506,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,858,217,144,2023/10/10 05:16:33+00,21263464
0542    2507,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,814,217,144,2023/10/10 05:16:33+00,21263465
0542    2508,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,814,217,144,2023/10/10 05:16:33+00,21263466
0542    2509,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,814,217,144,2023/10/10 05:16:33+00,21263467
0542    2510,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,814,217,144,2023/10/10 05:16:33+00,21263468
0542    2511,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,814,217,144,2023/10/10 05:16:33+00,21263469
0542    2512,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,814,217,144,2023/10/10 05:16:33+00,21263470
0542    2513,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,814,217,144,2023/10/10 05:16:33+00,21263471
0542    2514,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,814,217,144,2023/10/10 05:16:33+00,21263472
0616    0014,1,1,C,Brick/Concr,30,Average,BR,Brick,12,1,2002/02/26 00:00:00+00,145500,Q,1900,2005,1959,1,2518,42,1900,2023/10/10 05:16:33+00,21263473
0616    0015,1,1,C,Brick/Concr,30,Average,BR,Brick,12,1,2016/11/08 00:00:00+00,0,U,1908,,1934,2,2062,42,1900,2023/10/10 05:16:33+00,21263474
0616    0017,1,1,C,Brick/Concr,30,Average,BR,Brick,12,3,2022/09/15 00:00:00+00,0,U,1900,2008,1980,3,1747,42,1800,2023/10/10 05:16:33+00,21263475
0616    0018,1,1,C,Brick/Concr,30,Average,BR,Brick,9,,2016/11/07 00:00:00+00,0,U,1900,,1970,2,1815,42,1800,2023/10/10 05:16:33+00,21263476
0616    0019,1,1,C,Brick/Concr,30,Average,BR,Brick,12,2,2016/11/08 00:00:00+00,0,U,1900,,1962,2,1762,42,1750,2023/10/10 05:16:33+00,21263477
0616    0022,1,1,C,Brick/Concr,30,Average,BR,Brick,12,3,2018/11/01 00:00:00+00,1490000,Q,1900,,1934,3,6783,42,2483,2023/10/10 05:16:33+00,21263478
0616    0095,1,1,C,Brick/Concr,30,Average,BR,Brick,8,0,1900/01/01 00:00:00+00,,U,1900,,1905,1,1527,42,2396,2023/10/10 05:16:33+00,21263479
0616    0108,1,1,C,Brick/Concr,40,Good,BR,Brick,12,19,2001/05/29 00:00:00+00,0,U,1927,2009,1985,1,8300,21,6480,2023/10/10 05:16:33+00,21263480
0616    0110,1,1,C,Brick/Concr,30,Average,BR,Brick,8,0,1900/01/01 00:00:00+00,,U,1900,,1900,1,10684,89,15334,2023/10/10 05:16:33+00,21263481
0616    0115,1,1,C,Brick/Concr,30,Average,BR,Brick,12,0,2012/12/31 00:00:00+00,0,U,1930,2014,2014,1,81288,83,50944,2023/10/10 05:16:33+00,21263482
0616    0116,1,1,C,Brick/Concr,30,Average,BR,Brick,10,0,1900/01/01 00:00:00+00,0,U,1930,2015,2015,1,45686,83,42395,2023/10/10 05:16:33+00,21263483
